"","X","id","Q1","Q2","Q3","Q4_1","Q4_2","Q4_3","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","density","areapc"
"36",37,88,2,4,1,"北京市","北京市","海淀区",2,8,118,4,2,1,"2022/12/12",4,6,6,5,408.739329,29.5
"37",38,91,2,2,1,"北京市","北京市","海淀区",2,10,30,2,2,2,"-3",0,5,6,6,408.739329,15
"38",39,96,1,4,1,"北京市","北京市","海淀区",3,2,65,3,2,1,"2022/12/22",3,4,5,5,408.739329,21.6666666666667
"39",40,105,2,4,1,"北京市","北京市","朝阳区",2,2,136,3,2,1,"2022/12/11",3,5,6,6,419.6313085,45.3333333333333
"40",41,110,1,2,1,"北京市","北京市","海淀区",4,2,30,7,6,1,"2022/12/10",3,1,6,5,408.739329,4.28571428571429
"41",42,121,1,2,1,"北京市","北京市","海淀区",4,4,140,4,4,1,"2022/12/17",3,5,6,5,408.739329,35
"42",43,123,2,3,1,"北京市","北京市","海淀区",3,10,106,3,2,2,"-3",0,6,6,6,408.739329,35.3333333333333
"43",44,132,1,3,1,"北京市","北京市","朝阳区",4,10,60,3,3,1,"2022/12/16",4,5,7,7,419.6313085,20
"44",45,142,2,2,1,"北京市","北京市","大兴区",3,4,100,4,3,1,"2022/12/18",4,6,6,6,972.129989,25
"45",46,143,2,2,1,"北京市","北京市","海淀区",4,10,20,2,2,1,"2022/12/17",4,5,7,7,408.739329,10
"46",47,144,1,2,1,"北京市","北京市","海淀区",4,10,30,5,5,1,"2022/12/14",3,7,5,5,408.739329,6
"47",48,157,1,2,1,"北京市","北京市","海淀区",4,2,110,5,5,1,"2022/12/16",4,3,6,6,408.739329,22
"48",49,160,2,1,2,"北京市","北京市","东城区",6,1,10,1,-3,1,"2023/1/3",5,1,1,-3,42,10
"49",50,162,1,3,1,"北京市","北京市","海淀区",4,10,10,2,2,1,"2022/12/11",4,3,7,7,408.739329,5
"50",51,166,2,2,1,"北京市","北京市","海淀区",4,10,12,3,3,1,"2022/12/13",4,5,5,5,408.739329,4
"51",52,167,2,2,1,"北京市","北京市","海淀区",4,10,15,4,4,1,"2022/12/19",4,2,5,5,408.739329,3.75
"52",53,184,2,2,1,"北京市","北京市","西城区",4,3,58,2,2,1,"2022/12/31",3,5,6,6,51,29
"53",54,191,1,4,1,"北京市","北京市","朝阳区",1,4,110,3,2,1,"2022/12/15",4,6,6,2,419.6313085,36.6666666666667
"54",55,204,2,5,1,"北京市","北京市","海淀区",4,2,124,3,2,2,"-3",0,7,6,6,408.739329,41.3333333333333
"55",56,220,1,2,1,"北京市","北京市","海淀区",4,3,20,1,-3,2,"-3",0,2,6,-3,408.739329,20
"56",57,222,2,2,1,"北京市","北京市","顺义区",4,2,90,2,2,1,"2022/12/19",4,1,5,6,943.9385467,45
"57",58,225,2,2,1,"北京市","北京市","海淀区",4,3,60,3,3,1,"2022/12/15",4,7,6,5,408.739329,20
"58",59,229,1,3,1,"北京市","北京市","海淀区",1,8,18,5,5,1,"2022/12/13",4,5,5,5,408.739329,3.6
"59",60,242,1,2,1,"北京市","北京市","海淀区",4,10,25,4,2,1,"2022/12/14",4,5,5,5,408.739329,6.25
"60",61,244,1,2,1,"北京市","北京市","海淀区",3,10,30,3,3,2,"-3",0,4,6,6,408.739329,10
"61",62,246,2,2,1,"北京市","北京市","海淀区",3,8,78,4,3,1,"2022/12/11",4,6,6,6,408.739329,19.5
"62",63,251,1,2,1,"北京市","北京市","丰台区",5,10,120,5,5,1,"2022/12/10",3,4,7,5,287.8148812,24
"63",64,258,1,2,1,"北京市","北京市","朝阳区",2,2,140,5,5,1,"2022/11/14",4,8,7,6,419.6313085,28
"64",65,268,2,2,1,"北京市","北京市","海淀区",2,10,10,3,3,1,"2023/1/15",3,7,6,6,408.739329,3.33333333333333
"65",66,273,2,3,1,"北京市","北京市","朝阳区",2,6,70,3,2,2,"-3",0,8,5,6,419.6313085,23.3333333333333
"66",67,279,1,2,1,"北京市","北京市","海淀区",3,2,14,5,5,1,"2022/12/21",4,5,5,5,408.739329,2.8
"67",68,291,2,2,1,"北京市","北京市","朝阳区",5,2,120,3,3,2,"-3",0,6,5,5,419.6313085,40
"68",69,295,2,3,1,"北京市","北京市","海淀区",4,2,100,4,2,1,"2022/12/2",2,7,6,6,408.739329,25
"69",70,298,2,2,1,"北京市","北京市","朝阳区",2,8,75,3,3,2,"-3",0,5,5,6,419.6313085,25
"70",71,303,2,2,1,"北京市","北京市","海淀区",2,10,20,4,4,1,"2022/12/13",4,4,6,6,408.739329,5
"71",72,309,2,3,1,"北京市","北京市","海淀区",4,3,52,2,2,1,"2022/12/12",4,5,6,5,408.739329,26
"72",73,316,1,2,1,"北京市","北京市","朝阳区",3,3,160,4,4,1,"2022/12/10",4,6,7,6,419.6313085,40
"73",74,317,1,3,1,"北京市","北京市","朝阳区",2,4,99,1,-3,1,"2022/12/5",4,2,6,-3,419.6313085,99
"74",75,318,2,3,1,"北京市","北京市","朝阳区",3,5,114,5,4,1,"2022/12/29",3,4,5,5,419.6313085,22.8
"75",76,322,2,2,1,"北京市","北京市","顺义区",2,4,65,2,2,1,"2022/12/17",4,5,6,5,943.9385467,32.5
"76",77,327,2,2,1,"北京市","北京市","西城区",5,6,18,1,-3,1,"2022/12/10",4,4,6,-3,51,18
"77",78,333,2,2,1,"北京市","北京市","朝阳区",3,4,100,4,3,1,"2022/12/10",4,8,5,7,419.6313085,25
"78",79,336,2,2,1,"北京市","北京市","海淀区",3,4,110,4,3,1,"2022/12/16",4,6,5,5,408.739329,27.5
"79",80,346,2,2,1,"北京市","北京市","朝阳区",4,4,36,1,-3,2,"-3",0,5,6,-3,419.6313085,36
"80",81,349,2,2,1,"北京市","北京市","海淀区",2,10,13,4,4,1,"2022/12/9",4,2,6,5,408.739329,3.25
"81",82,353,1,3,1,"北京市","北京市","海淀区",4,3,42,2,2,1,"2022/12/14",3,6,7,7,408.739329,21
"82",83,355,1,3,1,"北京市","北京市","朝阳区",2,3,170,5,4,1,"2022/12/14",4,6,5,5,419.6313085,34
"83",84,359,1,3,1,"北京市","北京市","丰台区",2,4,60,1,-3,1,"2022/12/5",3,7,6,-3,287.8148812,60
"84",85,370,2,2,1,"北京市","北京市","海淀区",3,4,70,4,4,1,"2022/12/13",4,5,6,6,408.739329,17.5
"85",86,371,2,2,1,"北京市","北京市","朝阳区",2,3,115,2,2,1,"2022/12/18",4,1,6,5,419.6313085,57.5
"86",87,386,1,3,1,"北京市","北京市","海淀区",2,4,68,3,3,1,"2022/12/7",4,5,5,5,408.739329,22.6666666666667
"87",88,421,1,2,1,"北京市","北京市","海淀区",2,7,67,5,4,1,"2022/12/12",4,5,6,6,408.739329,13.4
"88",89,434,1,2,1,"北京市","北京市","朝阳区",5,10,80,4,3,1,"2022/12/4",4,5,6,3,419.6313085,20
"89",90,443,1,4,1,"北京市","北京市","海淀区",4,2,60,3,3,2,"-3",0,3,6,7,408.739329,20
"90",91,444,1,3,1,"北京市","北京市","昌平区",3,4,75,2,2,1,"2022/12/10",4,5,5,4,1244.384697,37.5
"91",92,450,1,2,1,"北京市","北京市","丰台区",2,6,60,1,-3,1,"2022/12/19",4,6,6,-3,287.8148812,60
"92",93,452,2,3,1,"北京市","北京市","昌平区",5,4,60,1,-3,2,"-3",0,5,7,-3,1244.384697,60
"93",94,456,2,5,1,"北京市","北京市","海淀区",4,6,55,3,3,2,"-3",0,5,4,5,408.739329,18.3333333333333
"94",95,457,1,3,1,"北京市","北京市","朝阳区",4,10,15,2,2,2,"-3",0,4,6,5,419.6313085,7.5
"95",96,459,1,4,1,"北京市","北京市","朝阳区",5,2,97,1,-3,1,"2022/12/14",4,5,6,-3,419.6313085,97
"96",97,465,2,2,1,"北京市","北京市","昌平区",3,2,80,3,3,1,"2022/12/4",3,5,6,4,1244.384697,26.6666666666667
"97",98,470,1,4,1,"北京市","北京市","朝阳区",5,4,100,5,2,1,"2022/12/4",3,6,5,5,419.6313085,20
"98",99,471,2,3,1,"北京市","北京市","海淀区",2,6,92,3,3,1,"2022/12/13",4,7,7,3,408.739329,30.6666666666667
"99",100,479,2,3,1,"北京市","北京市","朝阳区",2,10,50,1,-3,2,"-3",0,6,6,-3,419.6313085,50
"100",101,480,2,2,1,"北京市","北京市","朝阳区",3,10,30,4,4,1,"2022/12/14",3,5,7,7,419.6313085,7.5
"101",102,483,1,3,1,"北京市","北京市","海淀区",4,2,55,2,2,1,"2022/12/21",4,5,5,5,408.739329,27.5
"102",103,487,1,3,1,"北京市","北京市","朝阳区",4,3,50,4,3,2,"-3",0,5,4,3,419.6313085,12.5
"103",104,497,2,4,1,"北京市","北京市","石景山区",4,3,65,2,1,1,"2022/12/14",4,5,6,2,78.92018867,32.5
"104",105,498,2,3,1,"北京市","北京市","朝阳区",2,3,130,2,2,1,"2022/12/12",4,7,5,6,419.6313085,65
"105",106,510,1,3,1,"北京市","北京市","丰台区",4,3,55,3,3,1,"2022/12/12",4,6,6,6,287.8148812,18.3333333333333
"106",107,515,1,4,1,"北京市","北京市","大兴区",2,2,150,4,4,1,"2022/12/9",4,5,5,7,972.129989,37.5
"107",108,517,2,3,1,"北京市","北京市","西城区",2,9,70,5,4,1,"2022/12/12",4,7,6,7,51,14
"108",109,521,2,2,1,"北京市","北京市","西城区",4,10,30,2,2,1,"2022/12/13",4,5,6,6,51,15
"109",110,530,1,3,1,"北京市","北京市","朝阳区",2,6,114,5,4,1,"2021/12/4",4,7,6,6,419.6313085,22.8
"110",111,546,2,2,1,"北京市","北京市","房山区",3,10,5,3,3,1,"2022/12/24",3,6,6,6,1885.518528,1.66666666666667
"111",112,556,1,3,1,"北京市","北京市","丰台区",4,2,60,2,2,1,"2022/12/14",4,5,6,6,287.8148812,30
"112",113,560,2,2,1,"北京市","北京市","海淀区",2,8,100,4,4,1,"2022/12/12",4,4,7,7,408.739329,25
"113",114,576,2,3,1,"北京市","北京市","昌平区",4,8,15,2,2,1,"2022/12/10",4,4,5,5,1244.384697,7.5
"114",115,586,1,3,1,"北京市","北京市","昌平区",4,5,120,5,4,1,"2022/12/20",4,6,6,6,1244.384697,24
"115",116,595,1,2,1,"北京市","北京市","朝阳区",4,10,20,4,4,1,"2022/12/11",4,4,6,6,419.6313085,5
"116",117,598,2,2,1,"北京市","北京市","石景山区",4,10,150,3,3,1,"2022/12/7",4,5,5,4,78.92018867,50
"117",118,612,2,4,1,"北京市","北京市","东城区",3,2,100,2,2,1,"2022/11/30",2,6,7,5,42,50
"118",119,622,1,3,1,"北京市","北京市","朝阳区",4,2,60,1,-3,1,"2022/12/9",3,5,7,-3,419.6313085,60
"119",120,623,1,3,1,"北京市","北京市","朝阳区",4,10,40,2,2,2,"-3",0,5,6,6,419.6313085,20
"120",121,624,2,5,1,"北京市","北京市","海淀区",3,2,116,2,2,1,"2022/12/10",4,8,5,5,408.739329,58
"121",122,638,2,4,1,"北京市","北京市","海淀区",4,3,50,3,2,1,"2022/12/9",4,6,5,7,408.739329,16.6666666666667
"122",123,640,2,2,1,"北京市","北京市","昌平区",4,2,110,2,2,1,"2022/12/23",4,7,5,4,1244.384697,55
"123",124,651,1,3,1,"北京市","北京市","丰台区",2,9,50,2,2,1,"2022/12/17",4,5,6,3,287.8148812,25
"124",125,656,2,2,1,"北京市","北京市","丰台区",2,4,85,2,2,1,"2023/12/14",2,4,5,5,287.8148812,42.5
"125",126,659,1,3,1,"北京市","北京市","丰台区",2,10,113,4,3,1,"2022/12/11",4,7,6,6,287.8148812,28.25
"126",127,673,1,5,1,"北京市","北京市","朝阳区",4,2,120,3,3,1,"2022/12/15",4,6,6,6,419.6313085,40
"127",128,675,2,4,1,"北京市","北京市","丰台区",3,2,120,3,2,1,"2022/12/10",4,6,5,6,287.8148812,40
"128",129,681,1,2,1,"北京市","北京市","东城区",1,2,20,4,4,1,"2022/12/4",4,5,6,6,42,5
"129",130,687,1,2,1,"北京市","北京市","东城区",2,8,50,2,2,1,"2022/12/10",3,6,6,5,42,25
"130",131,695,2,4,1,"北京市","北京市","西城区",2,10,70,3,2,1,"2022/12/7",4,6,5,5,51,23.3333333333333
"131",132,698,1,3,1,"北京市","北京市","西城区",5,4,20,1,-3,1,"2022/12/13",4,5,5,-3,51,20
"132",133,700,2,3,1,"北京市","北京市","西城区",4,2,60,4,3,1,"2022/12/12",4,5,6,6,51,15
"133",135,711,1,3,1,"北京市","北京市","朝阳区",4,10,65,2,2,1,"2022/12/13",4,7,5,5,419.6313085,32.5
"134",136,712,2,3,1,"北京市","北京市","朝阳区",2,8,82,6,4,1,"2022/12/15",3,7,6,6,419.6313085,13.6666666666667
"135",137,719,1,2,1,"北京市","北京市","昌平区",1,10,100,4,3,1,"2022/12/25",3,5,6,5,1244.384697,25
"136",138,720,2,3,1,"北京市","北京市","朝阳区",4,2,140,2,2,1,"2022/12/15",4,5,5,6,419.6313085,70
"137",139,721,1,4,1,"北京市","北京市","昌平区",1,7,67,1,-3,1,"2022/12/21",4,5,6,-3,1244.384697,67
"138",140,731,1,3,1,"北京市","北京市","朝阳区",2,4,70,2,2,1,"2022/12/10",4,6,6,6,419.6313085,35
"139",141,744,1,3,1,"北京市","北京市","石景山区",4,3,60,4,4,1,"2022/12/10",3,5,7,7,78.92018867,15
"140",142,766,2,4,1,"北京市","北京市","海淀区",1,10,45,1,-3,1,"2022/12/13",4,6,7,-3,408.739329,45
"141",143,771,2,3,1,"北京市","北京市","朝阳区",2,10,85,2,2,1,"2022/12/12",3,6,6,5,419.6313085,42.5
"142",144,782,2,3,1,"北京市","北京市","朝阳区",2,5,90,5,4,1,"2022/12/7",4,6,7,6,419.6313085,18
"143",145,784,1,5,1,"北京市","北京市","朝阳区",1,9,100,2,2,2,"-3",0,5,5,4,419.6313085,50
"144",146,792,1,2,1,"北京市","北京市","丰台区",4,10,35,1,-3,2,"-3",0,5,6,-3,287.8148812,35
"145",147,809,2,4,1,"北京市","北京市","海淀区",2,4,100,3,3,1,"2022/12/18",4,5,5,4,408.739329,33.3333333333333
"146",148,811,1,3,1,"北京市","北京市","大兴区",2,3,80,2,2,2,"-3",0,5,4,4,972.129989,40
"147",149,822,2,4,1,"北京市","北京市","丰台区",3,1,250,3,3,1,"2022/12/25",4,8,7,7,287.8148812,83.3333333333333
"148",150,828,1,2,1,"北京市","北京市","西城区",1,6,100,2,2,1,"2022/12/8",4,7,5,5,51,50
"149",151,833,1,2,1,"北京市","北京市","海淀区",4,10,15,4,4,1,"2022/12/20",4,5,6,6,408.739329,3.75
"150",152,842,2,2,1,"北京市","北京市","东城区",3,3,50,2,1,1,"2022/12/13",4,4,5,6,42,25
"151",153,855,2,3,1,"北京市","北京市","西城区",3,2,90,4,4,1,"2022/12/13",3,6,6,6,51,22.5
"152",154,860,1,3,1,"北京市","北京市","海淀区",4,3,50,5,3,1,"2022/12/11",4,2,3,5,408.739329,10
"153",155,865,2,2,1,"北京市","北京市","昌平区",4,2,120,3,2,1,"2021/12/7",4,6,6,6,1244.384697,40
"154",156,866,2,2,1,"北京市","北京市","西城区",4,2,70,2,2,2,"-3",0,5,6,5,51,35
"155",157,867,2,2,1,"北京市","北京市","海淀区",5,5,54,2,2,1,"2022/12/14",4,5,5,5,408.739329,27
"156",158,871,1,2,1,"北京市","北京市","朝阳区",3,3,90,2,2,2,"-3",0,6,6,5,419.6313085,45
"157",159,875,2,2,1,"北京市","北京市","顺义区",3,6,50,1,-3,1,"2022/12/23",4,4,6,-3,943.9385467,50
"158",160,876,2,2,1,"北京市","北京市","丰台区",4,2,91,2,2,1,"2023/12/15",4,7,6,6,287.8148812,45.5
"159",161,878,2,3,1,"北京市","北京市","海淀区",2,10,116,2,2,1,"2022/12/21",4,6,6,6,408.739329,58
"160",162,881,2,3,1,"北京市","北京市","石景山区",5,3,90,3,3,1,"2022/12/11",4,5,6,5,78.92018867,30
"161",163,883,1,2,1,"北京市","北京市","朝阳区",5,8,10,1,-3,1,"2022/12/13",4,4,5,-3,419.6313085,10
"162",164,884,2,3,1,"北京市","北京市","朝阳区",2,2,100,2,2,1,"2022/12/20",4,6,6,6,419.6313085,50
"163",165,885,2,2,1,"北京市","北京市","通州区",4,2,100,5,4,1,"2022/12/9",4,7,5,5,858.8256271,20
"164",166,886,1,3,1,"北京市","北京市","昌平区",4,2,100,4,4,2,"-3",0,4,6,5,1244.384697,25
"165",167,887,2,2,1,"北京市","北京市","朝阳区",4,3,50,1,-3,1,"2022/1/9",4,5,6,-3,419.6313085,50
"166",168,888,2,3,1,"北京市","北京市","房山区",4,6,140,2,2,2,"-3",0,2,6,6,1885.518528,70
"167",169,890,1,3,1,"北京市","北京市","大兴区",5,8,50,2,1,1,"2022/12/18",4,4,6,6,972.129989,25
"168",170,891,2,2,1,"北京市","北京市","昌平区",3,4,120,3,2,1,"2022/12/17",4,6,6,5,1244.384697,40
"169",171,892,2,2,1,"北京市","北京市","朝阳区",2,10,80,3,3,1,"2022/12/10",3,5,6,5,419.6313085,26.6666666666667
"170",172,896,2,2,1,"北京市","北京市","西城区",1,4,60,2,2,1,"2022/12/27",3,5,6,6,51,30
"171",173,897,2,2,1,"北京市","北京市","海淀区",2,2,150,3,3,1,"2022/12/12",4,5,6,5,408.739329,50
"172",174,898,1,2,1,"北京市","北京市","西城区",3,10,92,6,6,1,"2022/12/11",4,5,5,5,51,15.3333333333333
"173",175,900,1,3,1,"北京市","北京市","东城区",5,1,40,1,-3,1,"2022/12/10",4,4,5,-3,42,40
"174",176,901,1,3,1,"北京市","北京市","东城区",4,1,30,1,-3,2,"-3",0,4,5,-3,42,30
"175",177,903,2,3,1,"北京市","北京市","大兴区",2,10,60,1,-3,2,"-3",0,5,6,-3,972.129989,60
"176",178,904,1,2,1,"北京市","北京市","丰台区",4,3,20,3,2,2,"-3",0,4,6,5,287.8148812,6.66666666666667
"177",179,905,1,3,1,"北京市","北京市","朝阳区",1,4,170,2,2,2,"-3",0,7,5,4,419.6313085,85
"178",180,906,1,3,1,"北京市","北京市","丰台区",2,4,65,3,3,1,"2022/12/14",3,4,5,5,287.8148812,21.6666666666667
"179",181,907,1,2,1,"北京市","北京市","海淀区",4,10,50,2,2,2,"-3",0,6,5,5,408.739329,25
"180",182,909,2,3,1,"北京市","北京市","顺义区",2,4,97,3,2,1,"2022/12/21",4,7,6,6,943.9385467,32.3333333333333
"181",183,912,2,2,1,"北京市","北京市","顺义区",2,8,110,1,-3,1,"2022/12/5",4,7,6,-3,943.9385467,110
"182",184,913,2,2,1,"北京市","北京市","朝阳区",4,2,100,2,2,1,"2022/12/11",4,5,6,5,419.6313085,50
"183",185,914,1,3,1,"北京市","北京市","丰台区",2,10,140,5,4,1,"2023/12/13",4,5,5,5,287.8148812,28
"184",186,916,2,3,1,"北京市","北京市","海淀区",4,10,15,3,3,1,"2022/12/15",3,4,6,6,408.739329,5
"185",187,923,1,4,1,"北京市","北京市","海淀区",2,7,71,6,3,1,"2022/12/14",3,6,6,6,408.739329,11.8333333333333
"186",188,925,1,2,1,"北京市","北京市","海淀区",1,4,70,2,2,1,"2023/12/15",3,5,5,6,408.739329,35
"187",189,926,2,2,1,"北京市","北京市","大兴区",2,4,90,1,-3,2,"-3",0,5,5,-3,972.129989,90
"188",190,928,2,2,1,"北京市","北京市","顺义区",3,10,80,3,1,2,"-3",0,5,6,6,943.9385467,26.6666666666667
"189",191,930,1,3,1,"北京市","北京市","丰台区",2,6,60,1,-3,1,"2022/12/16",4,4,6,-3,287.8148812,60
"190",192,932,1,2,1,"北京市","北京市","丰台区",2,10,90,2,2,1,"2022/12/21",4,5,5,6,287.8148812,45
"191",193,940,2,2,1,"北京市","北京市","西城区",4,3,70,2,2,1,"2022/12/13",4,5,5,5,51,35
"192",195,947,2,2,1,"北京市","北京市","西城区",5,3,70,3,3,1,"2022/12/18",3,5,6,6,51,23.3333333333333
"193",196,949,1,2,1,"北京市","北京市","昌平区",1,8,170,5,5,1,"2022/12/21",4,7,5,7,1244.384697,34
"194",197,950,2,2,1,"北京市","北京市","石景山区",4,3,45,1,-3,1,"2022/12/15",4,5,6,-3,78.92018867,45
"195",198,952,1,2,1,"北京市","北京市","朝阳区",2,4,50,2,2,1,"2022/12/4",3,4,5,5,419.6313085,25
"196",199,953,1,3,1,"北京市","北京市","顺义区",2,6,54,1,-3,1,"2023/12/15",4,5,5,-3,943.9385467,54
"197",200,955,1,2,1,"北京市","北京市","朝阳区",2,3,130,4,4,1,"2022/12/11",4,4,5,6,419.6313085,32.5
"198",201,959,2,2,1,"北京市","北京市","海淀区",4,5,40,1,-3,2,"-3",0,4,5,-3,408.739329,40
"199",202,962,1,3,1,"北京市","北京市","石景山区",4,3,60,2,2,1,"2022/12/15",4,5,6,6,78.92018867,30
"200",203,963,2,2,1,"北京市","北京市","海淀区",5,2,89,2,2,2,"-3",0,6,5,6,408.739329,44.5
"201",204,964,2,2,1,"北京市","北京市","朝阳区",2,8,68,2,2,1,"2022/12/18",3,7,5,5,419.6313085,34
"202",205,970,1,3,1,"北京市","北京市","昌平区",4,2,80,2,2,1,"2022/12/10",4,7,6,7,1244.384697,40
"203",206,975,2,2,1,"北京市","北京市","朝阳区",2,10,50,2,2,2,"-3",0,7,6,5,419.6313085,25
"204",207,976,1,2,1,"北京市","北京市","海淀区",5,8,80,1,-3,1,"2022/12/17",4,4,6,-3,408.739329,80
"205",208,977,2,2,1,"北京市","北京市","海淀区",2,6,50,2,2,1,"2022/12/12",4,5,5,4,408.739329,25
"206",209,978,2,2,1,"北京市","北京市","海淀区",2,2,200,3,3,1,"2022/12/8",4,7,5,6,408.739329,66.6666666666667
"207",210,979,2,3,1,"北京市","北京市","东城区",5,9,20,2,2,1,"2022/12/7",4,6,6,6,42,10
"208",211,983,1,2,1,"北京市","北京市","丰台区",3,10,45,2,2,1,"2022/12/5",4,4,5,3,287.8148812,22.5
"209",212,985,1,3,1,"北京市","北京市","朝阳区",1,4,75,5,4,1,"2022/12/11",4,5,5,6,419.6313085,15
"210",213,986,1,2,1,"北京市","北京市","朝阳区",4,2,80,2,2,1,"2022/12/16",4,3,5,5,419.6313085,40
"211",214,992,2,2,1,"北京市","北京市","海淀区",2,4,80,1,-3,2,"-3",0,4,5,-3,408.739329,80
"212",215,995,2,2,1,"北京市","北京市","海淀区",4,2,280,3,3,1,"2022/12/12",4,8,6,6,408.739329,93.3333333333333
"213",216,996,2,2,1,"北京市","北京市","顺义区",2,3,70,2,2,1,"2022/12/11",2,4,6,6,943.9385467,35
"214",217,1000,2,3,1,"北京市","北京市","西城区",4,3,50,2,2,1,"2022/12/19",4,2,6,6,51,25
"215",218,1004,1,2,1,"北京市","北京市","丰台区",4,10,30,1,-3,1,"2022/12/10",4,4,5,-3,287.8148812,30
"216",219,1006,2,2,1,"北京市","北京市","丰台区",1,2,97,1,-3,1,"2022/12/9",4,4,6,-3,287.8148812,97
"217",220,1007,1,2,1,"北京市","北京市","丰台区",5,3,120,2,2,1,"2022/12/23",4,5,6,5,287.8148812,60
